schedule_season,schedule_week,schedule_playoff,stadium_neutral
2003,4,FALSE,FALSE
2003,4,FALSE,FALSE
2003,4,FALSE,FALSE
2003,4,FALSE,FALSE
2003,4,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,5,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,6,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,7,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,FALSE
2003,8,FALSE,TRUE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,9,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,10,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,11,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,12,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,13,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,14,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,15,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,16,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,17,FALSE,FALSE
2003,Wildcard,TRUE,FALSE
2003,Wildcard,TRUE,FALSE
2003,Wildcard,TRUE,FALSE
2003,Wildcard,TRUE,FALSE
2003,Division,TRUE,FALSE
2003,Division,TRUE,FALSE
2003,Division,TRUE,FALSE
2003,Division,TRUE,FALSE
2003,Conference,TRUE,FALSE
2003,Conference,TRUE,FALSE
2003,Superbowl,TRUE,TRUE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,1,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,2,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,3,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,4,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,5,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,6,FALSE,FALSE
2004,7,FALSE,FALSE
2004,7,FALSE,FALSE
2004,7,FALSE,FALSE
2004,7,FALSE,FALSE
2004,7,FALSE,FALSE
2004,7,FALSE,FALSE
2004,7,FALSE,FALSE
2004,7,FALSE,FALSE
2004,7,FALSE,FALSE
2004,7,FALSE,FALSE
2004,7,FALSE,FALSE
