date,home,away,total_yards_opp_homeAvg,total_yards_homeAvg,sacks_opp_homeAvg,sacks_homeAvg,turnovers_opp_homeAvg,turnovers_homeAvg,penalties_opp_homeAvg,penalties_homeAvg
9/14/2003,Ravens,Browns,175,393,3,4,3,3,6,10
9/14/2003,Chiefs,Steelers,380,282,4,1,4,2,8,4
9/15/2003,Giants,Cowboys,403,309,4,2,1,3,11,10
9/21/2003,Bengals,Steelers,376,182,1,4,1,1,6,7
9/21/2003,Chargers,Ravens,249,389,1,1,1,3,4,10
9/21/2003,Falcons,Buccaneers,343.5709227,341.5879982,2.896824443,2.047850112,2.417059977,1.514505642,6.576270632,6.040000109
9/21/2003,49ers,Browns,290.3045909,361.182455,2.495301592,1.204884399,2.280807911,1.558209784,5.085306087,4.957589092
9/21/2003,Lions,Vikings,414,302,2,2,1,3,11,9
9/21/2003,Texans,Chiefs,426,316,1,1,2,4,4,10
9/21/2003,Dolphins,Bills,118,313,4,1,3,3,11,4
9/21/2003,Cardinals,Packers,311,354,0,0,2,1,4,7
9/21/2003,Redskins,Giants,399,456,1,3,0,1,15,17
9/21/2003,Colts,Jaguars,266,289,2,0,1,1,7,4
9/21/2003,Patriots,Jets,329,294,0,5,1,1,6,9
9/21/2003,Seahawks,Rams,308,316,0,4,3,1,3,4
9/21/2003,Titans,Saints,304.3589671,336.436055,2.5498558,1.237099471,1.544201656,1.742340059,8.715931255,7.770300622
9/22/2003,Broncos,Raiders,195,383,5,2,1,1,13,6
9/28/2003,Jets,Cowboys,334.068685,307.9171448,2.008374617,1.658064267,1.447019392,0.972958113,5.544777134,4.311337371
9/28/2003,Ravens,Chiefs,265,326,3,3,0,4,4,4
9/28/2003,Bills,Eagles,335,308,2,2,0,1,7,10
9/28/2003,Steelers,Titans,295.9554549,372.3211138,2.478556862,2.374424794,2.252818504,2.19399753,6.831053824,6.200004311
9/28/2003,Browns,Bengals,336.6865265,290.0019525,2.088183858,1.983641621,2.141650248,2.108999235,6.819775062,7.001119324
9/28/2003,Broncos,Lions,285,332,1,3,0,1,8,6
9/28/2003,Redskins,Patriots,387,253,1,2,4,0,8,9
9/28/2003,Saints,Colts,418,363,1,2,0,4,2,5
9/28/2003,Panthers,Falcons,267,361,6,0,1,1,9,4
9/28/2003,Texans,Jaguars,342,339,0,1,5,4,9,4
9/28/2003,Raiders,Chargers,336.3453272,333.3214164,2.278143282,2.106321984,1.965826495,1.079035927,6.799321525,9.488070125
9/28/2003,Vikings,49ers,372,354,4,2,3,0,9,4
9/28/2003,Rams,Cardinals,161,401,1,1,3,1,10,5
9/29/2003,Bears,Packers,380,361,0,5,1,2,4,6
10/5/2003,Giants,Dolphins,342.17255,356.3735393,3.190873894,1.624357507,1.940971855,2.120124817,7.547374424,7.469722566
10/5/2003,Steelers,Browns,274.1613317,375.3075604,2.653684322,2.218569394,2.064278838,1.940230736,6.853200319,6.173786527
10/5/2003,Panthers,Saints,344,309,0,0,1,1,7,4
10/5/2003,Bills,Bengals,301.3661109,307.1427105,1.918930163,2.71328204,1.735591014,1.885953751,7.520262009,7.812654953
10/5/2003,Cowboys,Cardinals,151,365,3,1,2,1,5,7
10/5/2003,49ers,Lions,280.4971252,354.8919229,2.901599769,1.306305471,2.509809428,1.389753887,5.157080739,6.514685036
10/5/2003,Bears,Raiders,301,344,1,2,2,3,5,11
10/5/2003,Chiefs,Broncos,349.1015754,369.3196579,2.405512209,1.644731735,2.602988386,1.405400522,7.36658977,4.719203855
10/5/2003,Falcons,Vikings,352.896249,302.0867756,3.135221046,2.090058146,2.177328123,2.105818963,7.997886666,5.795150534
10/5/2003,Jaguars,Chargers,318.0212012,295.5129311,1.932326738,2.85567099,1.338290341,0.793989658,6.166729899,6.595542528
10/5/2003,Eagles,Redskins,309.2518433,314.0250721,2.542848608,3.141257992,1.612752333,2.317243571,7.088581985,5.975578703
10/5/2003,Packers,Seahawks,315.7869966,323.8373669,1.736661276,1.040376819,2.321549478,2.462165641,6.326034749,6.05491681
10/5/2003,Patriots,Titans,325.0360344,296.185981,2.626266523,2.440265848,2.33003021,1.541162845,6.910359908,8.013645795
10/6/2003,Buccaneers,Colts,254.0659791,333.3930235,2.56111231,1.619636035,2.62358914,1.246652754,7.197354741,8.031826001
10/12/2003,Jaguars,Dolphins,321.3302648,301.3086912,1.815660585,2.476956607,1.714105174,1.384421329,5.938340814,6.981909637
10/12/2003,Browns,Raiders,317.3375315,289.6341772,1.753390063,2.170694925,1.676548524,2.002574798,7.628820589,7.534849078
10/12/2003,Redskins,Buccaneers,304.1718868,345.8865142,2.004172225,3.101438,1.622621561,1.841028057,7.679288808,9.407924923
10/12/2003,Patriots,Giants,315.348836,308.5316226,2.482991848,2.237955064,1.929816451,1.914422176,7.086367382,8.033493015
